rel_ms,avg_gaze_point_x,avg_gaze_point_y,avg_pupil_diam,eye_validities,fixation_start_ms,fixation_end_ms,fixation_duration_ms,fixation_x,fixation_y
0,0.052083,0.092593,3.0,3,0,200,200,100,100
200,0.052083,0.092593,3.0,3,,,,,
400,0.156250,0.092593,3.1,3,400,700,300,300,100
600,0.156250,0.092593,3.1,3,,,,,
800,0.156250,0.185185,3.2,3,,,,,
1000,0.156250,0.370370,3.2,3,1000,1400,400,300,400
1200,0.156250,0.370370,0.0,0,,,,,
1400,0.156250,0.370370,3.4,3,,,,,
1600,0.156250,0.370370,3.4,3,,,,,
1800,0.156250,0.370370,3.5,3,,,,,
