rel_ms,avg_gaze_point_x,avg_gaze_point_y,avg_pupil_diam,eye_validities,fixation_start_ms,fixation_end_ms,fixation_duration_ms,fixation_x,fixation_y,saccade_start_ms,saccade_end_ms,saccade_duration_ms,saccade_x_start,saccade_y_start,saccade_x_end,saccade_y_end,saccade_amplitude
0,0.052083,0.092593,3.0,3,0,200,200,100,100,,,,,,,,
200,0.052083,0.092593,3.0,3,,,,,,200,400,200,100,100,300,100,200
400,0.156250,0.092593,3.1,3,400,700,300,300,100,,,,,,,,
600,0.156250,0.092593,3.1,3,,,,,,700,1000,300,300,100,300,400,300
800,0.156250,0.185185,3.2,3,,,,,,,,,,,,,
1000,0.156250,0.370370,3.2,3,1000,1400,400,300,400,,,,,,,,
1200,0.156250,0.370370,0.0,0,,,,,,,,,,,,,
1400,0.156250,0.370370,3.4,3,,,,,,,,,,,,,
1600,0.156250,0.370370,3.4,3,,,,,,,,,,,,,
1800,0.156250,0.370370,3.5,3,,,,,,,,,,,,,
